image,experiment,source,source_param,channel_code,channel_param,channel,channel_p,psnr_db,mse,accuracy_exact,accuracy_tol5,ber_raw,ber_decoded,n_info_bits,n_tx_bits,code_rate,compression_ratio,encode_ms,decode_ms
gradient,bsc_sweep,dct,60,hamming,4,bsc,0.0,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0,0.0,131108,229439,0.5714285714285714,0.9997254172132898,8.146899999701418,104.7260999998798
gradient,bsc_sweep,dct,60,hamming,4,bsc,0.001,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0009893697235430767,0.0,131108,229439,0.5714285714285714,0.9997254172132898,11.898499999915657,93.69920000017373
gradient,bsc_sweep,dct,60,hamming,4,bsc,0.003,21.993243251232556,410.9188232421875,0.52752685546875,0.96966552734375,0.0030160521968802165,0.00015254599261677396,131108,229439,0.5714285714285714,0.9997254172132898,11.553599999842845,92.18300000020463
gradient,bsc_sweep,dct,60,hamming,4,bsc,0.01,15.71923729738334,1742.4351806640625,0.4234619140625,0.79791259765625,0.010185713849868593,0.0009534124538548372,131108,229439,0.5714285714285714,0.9997254172132898,10.459199999786506,172.8805999996439
gradient,bsc_sweep,dct,60,hamming,4,bsc,0.03,7.83582691341453,10702.806396484375,0.06317138671875,0.16143798828125,0.029916448380615326,0.007184916252250054,131108,229439,0.5714285714285714,0.9997254172132898,16.06930000025386,86.70230000006995
gradient,bsc_sweep,dct,60,hamming,4,bsc,0.1,7.55071564563997,11429.014831542969,0.002685546875,0.0338134765625,0.10088956105980239,0.06753211093144583,131108,229439,0.5714285714285714,0.9997254172132898,5.7018999996216735,103.0006000000867
gradient,bec_sweep,dct,60,none,1,bec,0.0,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0,0.0,131108,131108,1.0,0.9997254172132898,6.562000000030821,6.542800000261195
gradient,bec_sweep,dct,60,none,1,bec,0.01,8.203573673503193,9833.836730957031,0.04052734375,0.1414794921875,0.01025109070384721,0.005034017756353541,131108,131108,1.0,0.9997254172132898,7.82759999992777,7.558600000265869
gradient,bec_sweep,dct,60,none,1,bec,0.03,6.083277471167182,16023.323974609375,0.00128173828125,0.00933837890625,0.02998291484882692,0.015323244958354944,131108,131108,1.0,0.9997254172132898,6.101800000124058,6.934399999863672
gradient,bec_sweep,dct,60,none,1,bec,0.1,5.609885290416284,17868.653686523438,0.000244140625,0.0040283203125,0.10138969399273881,0.05162156390151631,131108,131108,1.0,0.9997254172132898,7.711100000051374,41.26330000008238
gradient,bec_sweep,dct,60,none,1,bec,0.2,5.709065165294848,17465.211303710938,0.00030517578125,0.00469970703125,0.20071238978552033,0.1008557830185801,131108,131108,1.0,0.9997254172132898,6.354799999826355,69.45760000007795
gradient,bec_sweep,dct,60,none,1,bec,0.3,5.470810997293399,18450.122802734375,0.0003662109375,0.00299072265625,0.2997681300912225,0.1505018763157092,131108,131108,1.0,0.9997254172132898,10.446499999943626,36.39130000010482
